ssp,age,sex,period,assr,CNTR_CODE,cntr_name
3,90--94,Male,2035-2040,0.264,AT,Austria
3,100+,Female,1995-2000,0,AT,Austria
1,65--69,Female,2010-2015,0.945,AT,Austria
3,0--4,Female,1960-1965,0.996,AT,Austria
2,10--14,Male,2075-2080,1,AT,Austria
2,20--24,Female,2035-2040,0.999,AT,Austria
1,15--19,Female,2065-2070,1,AT,Austria
3,75--79,Female,2095-2100,0.957,AT,Austria
2,40--44,Female,1960-1965,0.986,AT,Austria
3,85--89,Male,2060-2065,0.525,AT,Austria
3,95--99,Female,2020-2025,0.131,AT,Austria
3,Newborn,Female,1985-1990,0.991,AT,Austria
1,70--74,Male,2000-2005,0.805,AT,Austria
3,5--9,Male,1950-1955,0.996,AT,Austria
2,15--19,Female,2060-2065,1,AT,Austria
2,25--29,Male,2025-2030,0.998,AT,Austria
3,45--49,Female,2075-2080,0.997,AT,Austria
2,35--39,Female,1985-1990,0.994,AT,Austria
2,45--49,Male,1950-1955,0.956,AT,Austria
1,55--59,Female,2060-2065,1,AT,Austria
3,90--94,Female,2045-2050,0.335,AT,Austria
1,65--69,Male,2025-2030,0.942,AT,Austria
